feature,importance_gain,lgbm_rank,mutual_info,mi_rank,target_corr,corr_rank,avg_rank
emp_sa_private_services_trade_transportation_utilities_retail_nsa_3m_chg,160514.0,294,0.39415211232406966,17,0.11144352706869826,340,217.0
SP500_zscore_3m_mean_lag12,23312700.0,28,0.018585325539474784,412,0.14011394366181185,213,217.66666666666666
emp_sa_government_state_education_nsa_latest,0.0,539,0.5195755482900508,3,0.18375342490615587,114,218.66666666666666
CCSA_MoM_Pct_rolling_mean_12,388832.58984375,202,0.052584434006724745,185,0.12477777105354715,270,219.0
Oil_Prices_zscore_min_mom_change,38864808.20019531,13,0.017804348736811804,423,0.1364141562722297,225,220.33333333333334
nfp_sa_acceleration,11397526.69921875,49,0.04491664124724659,201,0.10160657111504702,411,220.33333333333334
ISM_Manufacturing_Index_yoy_change,320069.90234375,223,0.042645237223345234,212,0.13597025168570334,227,220.66666666666666
Credit_Spreads_acceleration_2yr_change,11240995.1015625,51,0.01912746476895011,406,0.1416983916285407,208,221.66666666666666
emp_sa_private_goods_construction_heavy_civil_nsa_3m_chg,180566.30078125,279,0.3150627546566862,31,0.10924887534657629,357,222.33333333333334
ADP_forecast_lag2,375184.0,208,0.03588739219225534,253,0.14201489538713719,206,222.33333333333334
emp_sa_private_services_professional_business_professional_technical_nsa_rolling_3m,165316.0,287,0.1745813409692918,87,0.1190751464580037,295,223.0
SP500_best_day_18m_change,253959.0,241,0.023962951113871256,354,0.20747990964422805,75,223.33333333333334
emp_sa_private_services_leisure_hospitality_arts_nsa_mom,282360.80078125,238,0.20991671839815806,73,0.10737826543253105,371,227.33333333333334
SP500_best_day_lag1,856262.0,136,0.01109630745329282,525,0.3339496050713782,23,228.0
NOAA_Human_Impact_Index_lag2,634289.1953125,162,0.04397256197502042,207,0.11620360044793157,318,229.0
emp_sa_private_goods_mining_logging_logging_nsa_volatility,799834.5297851562,140,0.04296166454788386,211,0.11088855339756117,345,232.0
Oil_Prices_volatility_2yr_change,49742000.0,7,0.013852334180716852,486,0.14358094694935342,204,232.33333333333334
