"DateTime","Private Employment"
"2018-02-01 00:00:00",124253000
"2018-03-01 00:00:00",124444000
"2018-04-01 00:00:00",124526000
"2018-05-01 00:00:00",124636000
"2018-06-01 00:00:00",124843000
"2018-07-01 00:00:00",125014000
"2018-08-01 00:00:00",125258000
"2018-09-01 00:00:00",125336000
"2018-10-01 00:00:00",125591000
"2018-11-01 00:00:00",125786000
"2018-12-01 00:00:00",125808000
"2019-01-01 00:00:00",126217000
"2019-02-01 00:00:00",126376000
"2019-03-01 00:00:00",126340000
"2019-04-01 00:00:00",126393000
"2019-05-01 00:00:00",126505000
"2019-06-01 00:00:00",126520000
"2019-07-01 00:00:00",126555000
"2019-08-01 00:00:00",126558000
"2019-09-01 00:00:00",126367000
"2019-10-01 00:00:00",126443000
"2019-11-01 00:00:00",126463000
"2019-12-01 00:00:00",126910000
"2020-01-01 00:00:00",126626000
"2020-02-01 00:00:00",126733000
"2020-03-01 00:00:00",126631000
"2020-04-01 00:00:00",120537000
"2020-05-01 00:00:00",117310000
"2020-06-01 00:00:00",117202000
"2020-07-01 00:00:00",117184000
"2020-08-01 00:00:00",117294000
"2020-09-01 00:00:00",118220000
"2020-10-01 00:00:00",118860000
"2020-11-01 00:00:00",119428000
"2020-12-01 00:00:00",120141000
"2021-01-01 00:00:00",120591000
"2021-02-01 00:00:00",120782000
"2021-03-01 00:00:00",121185000
"2021-04-01 00:00:00",121239000
"2021-05-01 00:00:00",121363000
"2021-06-01 00:00:00",121715000
"2021-07-01 00:00:00",122729000
"2021-08-01 00:00:00",123976000
"2021-09-01 00:00:00",124871000
"2021-10-01 00:00:00",125666000
"2021-11-01 00:00:00",126264000
"2021-12-01 00:00:00",126962000
"2022-01-01 00:00:00",127179000
"2022-02-01 00:00:00",127710000
"2022-03-01 00:00:00",127987000
"2022-04-01 00:00:00",128311000
"2022-05-01 00:00:00",128556000
"2022-06-01 00:00:00",129051000
"2022-07-01 00:00:00",129556000
"2022-08-01 00:00:00",129879000
"2022-09-01 00:00:00",130323000
"2022-10-01 00:00:00",130541000
"2022-11-01 00:00:00",130762000
"2022-12-01 00:00:00",130884000
"2023-01-01 00:00:00",131131000
"2023-02-01 00:00:00",131288000
"2023-03-01 00:00:00",131235000
"2023-04-01 00:00:00",131367000
"2023-05-01 00:00:00",131419000
"2023-06-01 00:00:00",131565000
"2023-07-01 00:00:00",131703000
"2023-08-01 00:00:00",131822000
"2023-09-01 00:00:00",131917000
"2023-10-01 00:00:00",132047000
"2023-11-01 00:00:00",132147000
"2023-12-01 00:00:00",132242000
"2024-01-01 00:00:00",132371000
"2024-02-01 00:00:00",132462000
"2024-03-01 00:00:00",132544000
"2024-04-01 00:00:00",132657000
"2024-05-01 00:00:00",132821000
"2024-06-01 00:00:00",132957000
"2024-07-01 00:00:00",132999000
"2024-08-01 00:00:00",133179000
"2024-09-01 00:00:00",133373000
"2024-10-01 00:00:00",133594000
"2024-11-01 00:00:00",133798000
"2024-12-01 00:00:00",133974000
"2025-01-01 00:00:00",134160000
"2025-02-01 00:00:00",134244000
"2025-03-01 00:00:00",134391000
"2025-04-01 00:00:00",134451000
"2025-05-01 00:00:00",134480000
"2025-06-01 00:00:00",134457000
"2025-07-01 00:00:00",134561000
"2025-08-01 00:00:00",134558000
"2025-09-01 00:00:00",134529000
"2025-10-01 00:00:00",134576000
"2025-11-01 00:00:00",134547000
"2025-12-01 00:00:00",134588000
