ds,actual,predicted,consensus_pred,error,sidecar_precision_share,sidecar_router_risk,sidecar_router_confidence
2023-05-01,339.0,257.6308988735102,178.0,81.3691011264898,0.15,0.5772800020052457,0.3082975893249714
2023-06-01,209.0,252.23005262132494,214.0,-43.230052621324944,0.15000000000000002,0.41567646285140375,0.5022191724133622
2023-07-01,187.0,161.00628489070579,184.0,25.993715109294214,0.15,0.49510958677634154,0.4068967735033565
2023-08-01,187.0,195.16196518902643,164.0,-8.161965189026432,0.15000000000000002,0.4328547782586443,0.48160519392467915
2023-09-01,336.0,235.78648908544835,148.0,100.21351091455165,0.15,0.5458354514018077,0.34653591985629284
2023-10-01,150.0,129.27417044308072,164.0,20.72582955691928,0.15,0.3118679615145004,0.6267840872082501
2023-11-01,164.0,121.47106444826491,173.0,42.52893555173509,0.15000000000000002,0.4205105858103286,0.4964103149304142
2023-12-01,216.0,83.14974554887917,151.0,132.85025445112083,0.15000000000000002,0.4526765946869673,0.4578084945389039
2024-01-01,353.0,282.1632164342899,157.0,70.8367835657101,0.15000000000000002,0.5562624905725887,0.33400785395249555
2024-02-01,275.0,186.53996925426873,184.0,88.46003074573127,0.15000000000000002,0.2773696543101341,0.6686754021696112
2024-03-01,303.0,218.35755490115807,197.0,84.64244509884193,0.15,0.42671734377250425,0.4889518457008476
2024-04-01,175.0,260.39406044816917,221.0,-85.39406044816917,0.15000000000000002,0.3458632666910266,0.5859615862051817
2024-05-01,272.0,189.43305711059278,189.0,82.56694288940722,0.15000000000000002,0.41985339036692565,0.49718348823475117
2024-06-01,206.0,186.9927149822137,190.0,19.0072850177863,0.15000000000000002,0.4488666714743496,0.462359994230772
2024-07-01,114.0,183.32819607534384,186.0,-69.32819607534384,0.15000000000000002,0.5259786504266138,0.3698206443636885
2024-08-01,142.0,142.5823246760026,164.0,-0.5823246760025995,0.15,0.42754353150760754,0.4879477621908723
2024-09-01,254.0,166.24447198348386,143.0,87.75552801651614,0.15,0.41437473058836605,0.5037478295283744
2024-10-01,12.0,92.05182532605671,132.0,-80.05182532605671,0.15000000000000002,0.3689238074692691,0.5972914310368572
2024-11-01,227.0,81.56121308534735,188.0,145.43878691465267,0.15,0.16027905986751106,0.8091539619058871
2024-12-01,256.0,163.1039148309341,153.0,92.89608516906591,0.15000000000000002,0.46299550781359383,0.49339460915461436
2025-01-01,143.0,247.00374920091625,165.0,-104.00374920091625,0.15,0.4892965208699438,0.4524104353966637
2025-02-01,151.0,89.93084557469072,136.0,61.06915442530928,0.15000000000000002,0.5005410269053857,0.4401739958875064
2025-03-01,228.0,204.45830307709053,121.0,23.541696922909466,0.15,0.5545939224561459,0.3359761267995249
2025-04-01,177.0,177.07662556478982,128.0,-0.07662556478982196,0.15000000000000002,0.3186696733698839,0.6190852257030397
2025-05-01,139.0,117.84330706379572,126.0,21.15669293620428,0.15000000000000002,0.4757959095583886,0.4305300570447864
2025-06-01,147.0,162.4186350856295,125.0,-15.41863508562949,0.15000000000000002,0.4903257622025228,0.4130905668384526
2025-07-01,73.0,81.18860485151467,110.0,-8.188604851514668,0.15,0.5466691985907582,0.3454747942034059
2025-08-01,22.0,81.34222060227125,76.0,-59.342220602271254,0.15000000000000002,0.4030085958768573,0.5178638864219736
2025-09-01,119.0,108.0305761190141,40.0,10.9694238809859,0.15,0.3108779413478313,0.6284170586178948
2025-10-01,-138.0,-26.60186944594886,22.0,-111.39813055405114,0.15,0.501936216168892,0.3991435332623693
2025-11-01,64.0,58.87188087365211,32.0,5.12811912634789,0.15000000000000002,0.1478281800447001,0.861977600795522
2025-12-01,50.0,105.59885963333225,60.0,-55.59885963333225,0.15,0.4817861471206301,0.42332003808939245
2026-01-01,130.0,202.58467111798808,83.0,-72.58467111798808,0.15000000000000002,0.44317309334804683,0.4696450724859772
2026-02-01,-92.0,68.26554947831697,66.0,-160.26554947831698,0.15,0.458608901101013,0.45111859404110016
2026-03-01,178.0,124.62179167729214,51.0,53.37820832270786,0.15,0.22884154440432183,0.7268359298473464
2026-04-01,,127.18691360294206,90.0,,0.0,0.0,0.0
