ds,actual,predicted,error,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,in_50_interval,in_80_interval,in_95_interval,n_train_samples,n_features
2018-08-01,325.0,298.4535002563793,26.5464997436207,108.45610540850504,435.68375237046723,-158.26717473180025,643.349818682372,-192.8487082322858,818.2060129745519,True,True,True,341,61
2018-09-01,515.0,804.7105999692047,-289.71059996920474,583.4193567156311,949.4450085992576,365.5015404108177,1149.6069183951975,308.20983195861345,1324.4631126873774,False,True,True,342,61
2018-10-01,1012.0,696.0064350189582,315.9935649810418,457.3107287408998,850.0454986558657,260.1335207148855,1071.3795543568235,152.00466486082928,1206.4585549161384,False,True,True,343,61
2018-11-01,479.0,400.85189848746535,78.14810151253465,158.18923614333997,561.0379954126994,60.77122841224491,770.6752047472775,-143.14987167066357,897.9530032626761,True,True,True,344,61
2018-12-01,-42.0,73.3335504145651,-115.3335504145651,-169.32911192956027,235.54474783829983,-192.1593939024001,430.77794662538827,-525.7051446910147,530.8611834177564,True,True,True,345,61
2019-01-01,-2989.0,-2442.8277011587775,-546.1722988412225,-2682.4224767311684,-2280.616503735043,-2729.4626926478127,-2150.5109938648966,-3029.1327958040893,-1974.3018934679917,False,False,True,346,61
2019-02-01,932.0,825.275868715592,106.72413128440803,589.8792156119506,992.2552109237738,534.2418669416264,1115.4486337915241,230.2454056018246,1290.1646136340853,True,True,True,347,61
2019-03-01,734.0,728.7244186832323,5.275581316767671,491.498881554223,848.9648515508363,437.6904169092668,967.8301310507038,140.7015687361394,1193.6131636017258,True,True,True,348,61
2019-04-01,1121.0,921.1346429874411,199.8653570125589,830.4969838158886,1027.1824363348298,614.5991987731487,1101.8938746309402,352.04421015242656,1214.8576536136625,False,False,True,349,61
2019-05-01,641.0,787.6210619017019,-146.62106190170186,754.8031758760935,893.6688552490906,465.98544580488294,941.2865977400152,259.92925389952745,968.1802080456216,False,True,True,350,61
2019-06-01,678.0,515.48512271891,162.51487728108998,468.33132053651923,592.7223497862558,193.8495066220911,646.4453427633493,21.916402069631943,689.6498870509536,False,False,True,351,61
2019-07-01,-1124.0,-841.9393489108496,-282.0606510891504,-896.9912662041797,-770.011236729842,-1149.7256887928158,-683.6289448143116,-1315.627347905783,-658.9196059533122,False,True,True,352,61
2019-08-01,334.0,229.19996209608797,104.80003790391203,152.21108587302595,306.04664554915104,-67.59681473346717,399.1355538691287,-207.80059386534737,420.5566357499656,False,True,True,353,61
2019-09-01,432.0,681.2435739520417,-249.24357395204174,590.4022437596159,779.1356710477972,377.17065616799164,864.0688781568311,260.3779656771955,937.5407202030403,False,True,True,354,61
2019-10-01,1013.0,688.4208166854178,324.5791833145822,483.89221963448193,786.3129137811733,379.7677980719904,914.8707280074123,256.5985721699847,944.7179629364164,False,False,False,355,61
2019-11-01,662.0,510.38103250588927,151.61896749411073,322.3622546261604,635.1204352313299,201.7280138924619,761.4364889615631,78.17570151092599,806.8486213775986,False,True,True,356,61
2019-12-01,-282.0,-11.505076329402502,-270.4949236705975,-224.89948729962418,188.65294095931023,-312.5607169248513,235.15078157983893,-443.7104073243658,324.0426850743796,False,True,True,357,61
2020-01-01,-3240.0,-2340.888640720279,-899.111359279721,-2580.275499245195,-2137.313999622974,-2632.695548688518,-2042.3743739298525,-2747.42684007147,-1982.2723560233826,False,False,False,358,61
2020-02-01,895.0,773.1342205967501,121.86577940324992,517.2415448871161,985.4462584888877,481.3273126285111,1096.8830488627923,320.4185687617859,1130.0578311569957,True,True,True,359,61
2020-03-01,-193.0,568.5294325716213,-761.5294325716213,311.48820633621904,776.1930825866992,218.90509046031764,868.1390867325515,-254.676135757162,925.4530431318669,False,False,True,360,61
2020-04-01,-19733.0,431.89409481416465,-20164.894094814164,174.85286857876235,639.5577448292426,-192.21934639797928,696.3953089169695,-522.5362221258777,753.3812480475233,False,False,False,361,61
2020-05-01,2271.0,71.20627721018354,2199.7937227898165,-212.63300782710803,244.0438745920836,-789.8096091493023,323.20284613599995,-3284.2289594164,344.7222301017664,False,False,False,362,61
2020-06-01,5171.0,218.38158332831145,4952.6184166716885,-210.63744713298556,407.15188312449163,-754.009767792869,470.43891092464173,-19711.374345050874,759.7254932931838,False,False,False,363,61
2020-07-01,587.0,-901.8956720772674,1488.8956720772674,-1419.8922618890429,-674.5160847448336,-1988.058633623567,-603.7163166389835,-20853.770285989613,1597.78961523578,False,False,True,364,61
2020-08-01,1498.0,-21.606532673738748,1519.6065326737387,-531.8645614813142,221.13747159281422,-1107.7694942200383,2086.978091643081,-19995.313584628973,4813.922196197607,False,True,True,365,61
2020-09-01,1257.0,198.8093879410607,1058.1906120589392,-253.0113080346758,822.9891688915133,-851.7089806472894,2440.29778737783,-19774.897664014177,5120.129169228409,False,True,True,366,65
2020-10-01,1604.0,383.3077594270971,1220.6922405729028,-8.221732535782678,1978.9244939448984,-481.67603203081177,2707.4593744801587,-19291.071279374577,5529.034730775337,True,True,True,367,65
2020-11-01,546.0,121.8572666955336,424.1427333044664,-285.8310208211032,1731.4362714289784,-386.4200982385353,2446.0088817485953,-19515.68204443318,5267.584238043773,True,True,True,368,65
2020-12-01,-228.0,-101.44040289076317,-126.55959710923683,-477.68874845092154,1495.3912735019474,-632.9486059629187,2245.4967878421126,-19738.979714019475,4957.5178381478745,True,True,True,369,65
2021-01-01,-2850.0,-3044.3897182316596,194.38971823165957,-3418.9647248342426,-1439.4591154002403,-3579.869582435801,-698.0609980043982,-22683.69161401831,1997.4204983199197,True,True,True,370,65
2021-02-01,999.0,454.48954409401074,544.5104559059893,271.660486906483,2059.866940238983,-80.99032011013082,2865.0454760173357,-19162.095729649216,5510.940555735643,True,True,True,371,65
2021-03-01,1474.0,738.8497114171549,735.1502885828451,616.647986805572,2341.695907374312,233.80107437714145,3134.2944520595174,-18912.346073581713,5795.300723058787,True,True,True,372,61
2021-04-01,998.0,921.5879789670535,76.41202103294654,831.9109696688469,2511.2055600537824,483.4560426151786,3257.6881278166766,-18852.870236559156,5867.688344287759,True,True,True,373,61
2021-05-01,987.0,473.081755655855,513.918244344145,476.01926482520935,2050.6009550272875,146.93465287520263,2651.033397517376,-19301.376459870356,5351.667016413797,True,True,True,374,61
