Release Date,Time,Actual,Forecast,Previous
"Jan 06, 2010",08:15,-84K,-75K,-145K
"Dec 02, 2009",08:15,-169K,-148K,-195K
"Nov 04, 2009",08:15,-203K,-190K,-227K
"Sep 30, 2009",07:15,-254K,-200K,-277K
"Sep 02, 2009",07:15,-298K,-250K,-360K
"Aug 05, 2009",07:15,-371K,-340K,-463K
"Jul 01, 2009",07:15,-473K,-410K,-485K
"Jun 03, 2009",07:15,-532K,-532K,-545K
"May 06, 2009",07:15,-491K,-644K,-708K
"Apr 01, 2009",07:15,-742K,-660K,-706K
"Mar 04, 2009",08:15,-697K,-565K,-614K
"Feb 04, 2009",08:15,-522K,-528K,-693K
"Jan 07, 2009",08:15,-693K,-450K,-476K
"Dec 03, 2008",08:15,-250K,-200K,-157K
"Nov 05, 2008",08:15,-157K,-100K,-8K
"Oct 01, 2008",07:15,-8K,-55K,-33K
"Sep 04, 2008",07:15,-33K,-30K,9K
"Jul 30, 2008",07:15,9K,-58K,-79K
"Jul 02, 2008",07:15,-79K,-20K,40K
"Jun 04, 2008",08:15,40K,-30K,13K
"Apr 30, 2008",07:15,10K,-60K,8K
"Apr 02, 2008",07:15,8K,-40K,-23K
"Mar 05, 2008",08:15,-23K,10K,126K
"Feb 01, 2008  (Jan)",07:15,42K,,0K
"Jan 01, 2008  (Dec)",07:15,0K,,66K
"Dec 01, 2007  (Nov)",07:15,66K,,-8K
"Nov 01, 2007  (Oct)",07:15,-8K,,-3K
"Oct 01, 2007  (Sep)",07:15,-3K,,31K
"Sep 01, 2007  (Aug)",07:15,31K,,-18K
"Aug 01, 2007  (Jul)",07:15,-18K,,97K
"Jul 01, 2007  (Jun)",07:15,97K,,59K
"Jun 01, 2007  (May)",07:15,59K,,137K
"May 01, 2007  (Apr)",07:15,137K,,127K
"Apr 01, 2007  (Mar)",07:15,127K,,153K
"Mar 01, 2007  (Feb)",07:15,153K,,199K
"Feb 01, 2007  (Jan)",07:15,199K,,74K
"Jan 01, 2007  (Dec)",07:15,74K,,193K
"Dec 01, 2006  (Nov)",07:15,193K,,90K
"Nov 01, 2006  (Oct)",07:15,90K,,25K
"Oct 01, 2006  (Sep)",07:15,25K,,98K
"Sep 01, 2006  (Aug)",07:15,98K,,106K
"Aug 01, 2006  (Jul)",07:15,106K,,125K
"Jul 01, 2006  (Jun)",07:15,125K,,143K
"Jun 01, 2006  (May)",07:15,143K,,148K
"May 01, 2006  (Apr)",07:15,148K,,217K
"Apr 01, 2006  (Mar)",07:15,217K,,307K
"Mar 01, 2006  (Feb)",07:15,307K,,329K
