ds,actual,consensus_pred,panel_consensus_mean,panel_consensus_median,panel_consensus_count,panel_consensus_std,panel_pred,error,kalman_pred,predicted,selected_rule
2023-05-01,339.0,178.0,197.0,197.0,5.0,5.873670062235365,197.0,142.0,188.25611857788172,197.0,warmup_panel
2023-06-01,209.0,214.0,207.0,207.0,5.0,22.68259244442751,207.0,2.0,287.60131230579196,207.0,gate:200.00
2023-07-01,187.0,184.0,211.25,211.25,5.0,29.65952629426168,211.25,-24.25,183.09420310352823,211.25,gate:200.00
2023-08-01,187.0,164.0,178.0,178.0,5.0,13.765899897936205,178.0,9.0,172.36937390405936,178.0,gate:200.00
2023-09-01,336.0,148.0,168.25,165.0,5.0,25.77183540223707,168.25,167.75,154.7020461270905,168.25,gate:200.00
2023-10-01,150.0,164.0,158.0,158.0,5.0,19.544820285692065,158.0,-8.0,140.18789761999176,158.0,gate:200.00
2023-11-01,164.0,173.0,172.5,172.5,5.0,21.650635094610966,172.5,-8.5,119.9313406387237,172.5,gate:200.00
2023-12-01,216.0,151.0,168.75,170.0,5.0,11.388041973930374,168.75,47.25,112.08119554832177,168.75,gate:200.00
2024-01-01,353.0,157.0,185.75,185.0,5.0,8.613216588476108,185.75,167.25,217.02295304915177,185.75,gate:200.00
2024-02-01,275.0,184.0,187.5,187.5,5.0,8.2915619758885,187.5,87.5,203.370539047102,187.5,gate:200.00
2024-03-01,303.0,197.0,207.0,207.0,5.0,19.4164878389476,207.0,96.0,205.46933174459764,207.0,gate:200.00
2024-04-01,175.0,221.0,237.5,237.5,5.0,25.124689052802225,237.5,-62.5,241.63991603523974,237.5,gate:200.00
2024-05-01,272.0,189.0,187.5,187.5,5.0,11.4564392373896,187.5,84.5,184.25056591133085,187.5,gate:200.00
2024-06-01,206.0,190.0,187.5,187.5,5.0,5.5901699437494745,187.5,18.5,196.3698003332219,187.5,gate:200.00
2024-07-01,114.0,186.0,178.75,178.75,5.0,4.14578098794425,178.75,-64.75,184.7941203868451,178.75,gate:200.00
2024-08-01,142.0,164.0,163.25,163.0,5.0,4.085033659592048,163.25,-21.25,153.80633639000644,163.25,gate:200.00
2024-09-01,254.0,143.0,151.66666666666666,145.83333333333331,4.0,20.138409955990955,151.66666666666666,102.33333333333334,156.2731351749215,151.66666666666666,gate:200.00
2024-10-01,12.0,132.0,107.5,107.5,5.0,21.937410968480304,107.5,-95.5,118.65016705398627,107.5,gate:200.00
2024-11-01,227.0,188.0,202.5,200.0,5.0,36.31459761583488,202.5,24.5,129.86596682862438,202.5,gate:200.00
2024-12-01,256.0,153.0,165.0,165.0,5.0,9.354143466934854,165.0,91.0,173.6595408253684,165.0,gate:200.00
2025-01-01,143.0,165.0,137.5,137.5,5.0,24.62214450449026,137.5,5.5,208.39145554933106,137.5,gate:200.00
2025-02-01,151.0,136.0,172.5,172.5,5.0,35.61951712193752,172.5,-21.5,125.6573022083332,172.5,gate:200.00
2025-03-01,228.0,121.0,133.75,130.0,5.0,19.803724397193573,133.75,94.25,155.9750670598484,133.75,gate:200.00
2025-04-01,177.0,128.0,128.75,128.75,5.0,10.231690964840562,128.75,48.25,155.56210136042836,128.75,gate:200.00
2025-05-01,139.0,126.0,127.5,130.0,5.0,4.330127018922194,127.5,11.5,122.78846710403546,127.5,gate:200.00
2025-06-01,147.0,125.0,100.0,105.0,5.0,14.577379737113251,100.0,47.0,130.19264534460822,100.0,gate:200.00
2025-07-01,73.0,110.0,111.66666666666667,110.83333333333334,4.0,10.274023338281628,111.66666666666667,-38.66666666666667,98.27698521178476,111.66666666666667,gate:200.00
2025-08-01,22.0,76.0,68.5,68.5,5.0,7.697402159170326,68.5,-46.5,70.25224426489218,68.5,gate:200.00
2025-09-01,119.0,40.0,54.5,48.0,5.0,14.773286702694158,54.5,64.5,84.47204014601522,54.5,gate:200.00
2025-10-01,-138.0,22.0,,,,,22.0,-77.02970766807928,-60.97029233192071,-60.97029233192071,gate:200.00
2025-11-01,64.0,32.0,,,,,32.0,17.46370512937291,46.53629487062709,46.53629487062709,gate:200.00
2025-12-01,50.0,60.0,,,,,60.0,-52.5326713894797,102.5326713894797,102.5326713894797,gate:200.00
2026-01-01,130.0,83.0,,,,,83.0,-62.63085844760937,192.63085844760937,192.63085844760937,gate:200.00
2026-02-01,-92.0,66.0,,,,,66.0,-168.69510084088427,76.69510084088427,76.69510084088427,gate:200.00
2026-03-01,178.0,51.0,,,,,51.0,64.0485976754977,113.9514023245023,113.9514023245023,gate:200.00
2026-04-01,,90.0,,,,,90.0,,138.55458573819126,138.55458573819126,gate:200.00
